student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
S001,Danielle Brown,Class C,98.59,97.64,64.66,83.38,91.78,57.82
S002,James Macdonald,Class C,96.8,88.11,44.29,41.16,99.67,20.74
S003,Lauren Hernandez,Class C,59.57,62.79,76.91,67.28,88.73,48.1
S004,Donna Cox,Class B,55.81,76.87,79.9,93.93,89.12,21.53
S005,Samantha Brown,Class D,62.73,82.14,63.32,87.5,91.04,32.71
S006,Danielle King,Class D,90.95,50.54,68.86,77.95,49.8,48.71
S007,Gregory Stokes,Class A,83.21,79.29,97.48,47.91,94.81,41.57
S008,Tara Harrison,Class B,57.21,98.53,83.57,69.39,87.94,46.85
S009,James Bradley,Class B,93.14,77.86,33.06,95.48,80.46,16.97
S010,Brian Barrett,Class A,91.81,47.32,44.78,75.03,50.4,51.47
S011,Daniel Galvan,Class A,55.4,72.71,33.44,97.73,36.63,52.1
S012,Carol Peterson,Class C,60.55,99.51,82.31,84.54,62.64,48.7
S013,Jessica Carney,Class C,76.52,79.63,38.01,98.24,50.75,18.04
S014,Edward Gaines,Class D,95.9,64.39,73.01,97.85,83.12,51.93
S015,Johnny Hunter,Class D,77.32,41.67,86.83,66.76,78.31,29.96
S016,Matthew Robinson,Class A,65.43,53.03,45.67,69.09,99.36,54.31
S017,Alexandra Sandoval,Class B,67.98,87.2,77.86,99.92,64.83,26.6
S018,Rebecca Fernandez,Class B,97.59,78.28,53.93,57.49,95.21,29.1
S019,Holly Mason,Class D,50.31,83.51,55.09,80.57,40.28,40.64
S020,Stephanie Garcia,Class D,84.88,86.69,48.54,70.06,36.5,33.59
S021,Jeffrey Palmer,Class B,94.78,71.75,82.28,90.09,74.33,15.09
S022,Michael Barry,Class A,50.05,60.33,86.74,70.45,60.9,59.92
S023,John Howard,Class A,60.33,93.61,36.6,45.72,39.19,28.41
S024,Manuel Russell,Class B,67.57,96.57,49.95,81.89,94.92,43.83
S025,Gina Lindsey,Class D,85.82,59.34,94.2,60.32,39.71,56.95
S026,Luis Grant,Class C,62.36,98.15,55.71,85.08,80.18,14.07
S027,Ryan Vasquez,Class A,71.65,69.07,49.53,41.94,47.85,35.24
S028,Melissa Scott,Class D,52.57,95.98,41.92,48.88,39.55,44.25
S029,Stacy Boyer,Class C,51.76,93.07,79.85,47.61,80.06,36.68
S030,Yvette Kelly,Class B,57.96,82.18,32.42,41.43,51.7,33.22
S031,Lisa Robinson,Class A,60.38,81.89,73.68,72.48,56.81,55.91
S032,Renee Gray,Class C,69.52,74.31,33.11,71.2,49.55,18.94
S033,Chad Garcia,Class A,68.03,95.05,78.39,48.14,50.21,49.19
S034,David Bradley,Class B,74.12,99.62,58.26,46.75,45.85,34.7
S035,Eric Mays,Class A,69.23,97.44,75.26,58.44,44.34,11.03
S036,Carolyn Gray,Class A,57.64,55.4,49.45,77.03,53.47,42.55
S037,Sean Benson,Class B,55.73,66.71,36.81,42.74,79.36,55.69
S038,Mary Thompson,Class C,79.62,57.64,97.73,72.49,49,16.99
S039,Courtney Hodge,Class C,80.05,51.24,72.44,89.3,80.29,26.11
S040,Krista Perez,Class A,80.78,52.76,94.45,88.21,82.14,50.15
S041,Susan Jones,Class B,95.94,78.73,35.7,41.64,51,17.69
S042,Jason Hernandez,Class C,79.09,58.5,93.1,99.77,80.13,49.53
S043,Crystal Reed,Class D,91.47,88.08,77.23,60.43,52.02,59.43
S044,Rebecca Salas,Class B,76.25,84.89,61.09,45.93,41.71,29.96
